#
#
# Table of the atomic volume per atom of Tantalum
# through a range of temperatures and pressures
#
# Temperature  Pressure      Volume
# (degree K)    (MBar)    (cubic Bohrs)
#
 3000.000000000    0.612245    103.025 
 3000.000000000    0.816327    96.9149 
 3000.000000000    1.02041    91.8506 
 3000.000000000    1.22449    87.6778 
 3000.000000000    1.42857    84.2565 
 3000.000000000    1.63265    81.4606 
 3000.000000000    1.83673    79.1773 
 3000.000000000    2.04082    77.3063 
 3000.000000000    2.2449    75.7593 
 3000.000000000    2.44898    74.4594 
 3000.000000000    2.65306    73.3403 
 3000.000000000    2.85714    72.3458 
 3000.000000000    3.06122    71.4292 
 3000.000000000    3.26531    70.5523 
 3000.000000000    3.46939    69.6853 
 3000.000000000    3.67347    68.8057 
 3000.000000000    3.87755    67.8979 
 3000.000000000    4.08163    66.9525 
 3000.000000000    4.28571    65.9656 
 3000.000000000    4.4898    64.9384 
 3000.000000000    4.69388    63.876 
 3000.000000000    4.89796    62.7876 
 3000.000000000    5.10204    61.6849 
 3000.000000000    5.30612    60.5823 
 3000.000000000    5.5102    59.4957 
 3000.000000000    5.71429    58.4422 
 3000.000000000    5.91837    57.4391 
 3000.000000000    6.12245    56.5038 
 3000.000000000    6.32653    55.6524 
 3000.000000000    6.53061    54.9 
 3000.000000000    6.73469    54.259 
 3000.000000000    6.93878    53.7395 
 3000.000000000    7.14286    53.3479 
 3000.000000000    7.34694    53.0864 
 3000.000000000    7.55102    52.9527 
 3000.000000000    7.7551    52.9392 
 3000.000000000    7.95918    53.032 
 3000.000000000    8.16327    53.2107 
 3000.000000000    8.36735    53.4478 
 3000.000000000    8.57143    53.7075 
 3000.000000000    8.77551    53.9456 
 3000.000000000    8.97959    54.1088 
 3000.000000000    9.18367    54.1337 
 3000.000000000    9.38776    53.9467 
 3000.000000000    9.59184    53.4626 
 3000.000000000    9.79592    52.585 
 3000.000000000    10    51.2045 
  
 3300.000000000    0    130.201 
 3300.000000000    0.204082    119.76 
 3300.000000000    0.408163    110.935 
 3300.000000000    0.612245    103.522 
 3300.000000000    0.816327    97.3352 
 3300.000000000    1.02041    92.2045 
 3300.000000000    1.22449    87.9746 
 3300.000000000    1.42857    84.5046 
 3300.000000000    1.63265    81.6679 
 3300.000000000    1.83673    79.351 
 3300.000000000    2.04082    77.4527 
 3300.000000000    2.2449    75.8844 
 3300.000000000    2.44898    74.5682 
 3300.000000000    2.65306    73.4374 
 3300.000000000    2.85714    72.4352 
 3300.000000000    3.06122    71.514 
 3300.000000000    3.26531    70.6353 
 3300.000000000    3.46939    69.7687 
 3300.000000000    3.67347    68.8911 
 3300.000000000    3.87755    67.9864 
 3300.000000000    4.08163    67.0447 
 3300.000000000    4.28571    66.0618 
 3300.000000000    4.4898    65.0383 
 3300.000000000    4.69388    63.9792 
 3300.000000000    4.89796    62.8931 
 3300.000000000    5.10204    61.7916 
 3300.000000000    5.30612    60.6888 
 3300.000000000    5.5102    59.6005 
 3300.000000000    5.71429    58.5436 
 3300.000000000    5.91837    57.5356 
 3300.000000000    6.12245    56.5935 
 3300.000000000    6.32653    55.7338 
 3300.000000000    6.53061    54.9715 
 3300.000000000    6.73469    54.3194 
 3300.000000000    6.93878    53.7877 
 3300.000000000    7.14286    53.3832 
 3300.000000000    7.34694    53.1087 
 3300.000000000    7.55102    52.9622 
 3300.000000000    7.7551    52.9367 
 3300.000000000    7.95918    53.019 
 3300.000000000    8.16327    53.1896 
 3300.000000000    8.36735    53.4215 
